,user,attacktype,attacker,sensors,nfeatures,cval,gamma,kernel,far,frr,hter,refhter
2731,User2,zero-effort,rest,"('LAcc',)",30,0.32,scale,rbf,0.08,0.0,0.04,0.03090909090909091
2732,User2,dict-effort,I1_slength_long,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2733,User2,dict-effort,I1_slength_longer,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2734,User2,dict-effort,I1_slength_normal,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2735,User2,dict-effort,I1_slength_short,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2736,User2,dict-effort,I1_speed1_4,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2737,User2,dict-effort,I1_speed1_6,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2738,User2,dict-effort,I1_speed1_8,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2739,User2,dict-effort,I1_speed2_0,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2740,User2,dict-effort,I1_speed2_2,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2741,User2,dict-effort,I1_speed2_4,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2742,User2,dict-effort,I1_speed2_6,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2743,User2,dict-effort,I1_speed2_8,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2744,User2,dict-effort,I1_speed3_0,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2745,User2,dict-effort,I1_swidth_close,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2746,User2,dict-effort,I1_swidth_normal,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2747,User2,dict-effort,I1_swidth_wide,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2748,User2,dict-effort,I1_swidth_wider,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2749,User2,dict-effort,I1_tlift_back,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2750,User2,dict-effort,I1_tlift_front,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2751,User2,dict-effort,I1_tlift_normal,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2752,User2,dict-effort,I1_tlift_up,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2753,User2,dict-effort,I2_slength_long,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2754,User2,dict-effort,I2_slength_longer,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2755,User2,dict-effort,I2_slength_normal,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2756,User2,dict-effort,I2_slength_short,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2757,User2,dict-effort,I2_speed1_4,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2758,User2,dict-effort,I2_speed1_6,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2759,User2,dict-effort,I2_speed1_8,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
2760,User2,dict-effort,I2_speed2_0,"('LAcc',)",30,0.32,scale,rbf,0.0,0.0,0.0,0.04
