,User,num_successful_attempts,num_unique_succ_imitators
0,User1,26,8
1,User2,0,0
2,User3,0,0
3,User4,2,2
4,User5,25,6
5,User6,33,7
6,User7,8,3
7,User8,2,2
8,User9,2,2
9,User10,22,4
10,User11,3,2
11,User12,19,4
12,User13,2,2
13,User14,14,7
14,User15,5,3
15,User16,0,0
16,User17,28,8
17,User18,17,6
18,User19,0,0
19,User20,0,0
20,User21,0,0
21,User22,0,0
22,User23,0,0
23,User24,0,0
24,User25,0,0
25,User26,20,6
26,User27,2,2
27,User28,2,1
28,User29,0,0
29,User30,52,9
30,User31,18,5
31,User32,178,9
32,User33,16,5
33,User34,34,9
34,User35,93,9
35,User36,27,8
36,User37,11,1
37,User38,12,5
38,User39,5,3
39,User40,34,9
40,User41,11,3
41,User42,65,9
42,User43,33,6
43,User44,37,9
44,User45,20,3
45,User46,12,5
46,User47,17,5
47,User48,7,4
48,User49,15,3
49,User50,13,4
50,User51,38,5
51,User52,70,9
52,User53,39,7
53,User54,53,8
54,User55,26,5
