,User,a+g+m+r,a
0,User1,0,14.60674157
1,User2,0,0
2,User3,2.808988764,0
3,User4,0,1.123595506
4,User5,2.808988764,14.04494382
5,User6,0,18.53932584
6,User7,3.93258427,4.494382022
7,User8,0,1.123595506
8,User9,0,1.123595506
9,User10,0,12.35955056
10,User11,7.865168539,1.685393258
11,User12,5.617977528,10.6741573
12,User13,0,1.123595506
13,User14,1.685393258,7.865168539
14,User15,0,2.808988764
15,User16,3.370786517,0
16,User17,19.1011236,15.73033708
17,User18,0,9.550561798
18,User19,0.561797753,0
19,User20,0,0
20,User21,6.179775281,0
21,User22,2.808988764,0
22,User23,1.685393258,0
23,User24,0,0
24,User25,3.93258427,0
25,User26,23.03370787,11.23595506
26,User27,2.808988764,1.123595506
27,User28,0.561797753,1.123595506
28,User29,1.123595506,0
29,User30,28.65168539,29.21348315
30,User31,66.85393258,10.11235955
31,User32,14.04494382,100
32,User33,2.808988764,8.988764045
33,User34,39.88764045,19.1011236
34,User35,45.50561798,52.24719101
35,User36,41.57303371,15.16853933
36,User37,10.11235955,6.179775281
37,User38,35.39325843,6.741573034
38,User39,0.561797753,2.808988764
39,User40,64.04494382,19.1011236
40,User41,37.64044944,6.179775281
41,User42,25.28089888,36.51685393
42,User43,8.988764045,18.53932584
43,User44,0.561797753,20.78651685
44,User45,6.741573034,11.23595506
45,User46,10.6741573,6.741573034
46,User47,29.21348315,9.550561798
47,User48,2.247191011,3.93258427
48,User49,23.59550562,8.426966292
49,User50,8.426966292,7.303370787
50,User51,24.71910112,21.34831461
51,User52,43.25842697,39.3258427
52,User53,75.28089888,21.91011236
53,User54,38.76404494,29.7752809
54,User55,26.40449438,14.60674157
