,User,zfar,top_attackers,Average
0,User1,1,[],0.0
1,User2,3,[],0.0
2,User3,3,"['I3_SL_longer, 7', 'I6_SP_80, 5', 'I8_SP_62, 4', 'I9_TL_back, 4', 'I5_SL_longer, 3']",4.0
3,User4,2,[],0.0
4,User5,2,"['I9_SW_wider, 40', 'I9_SL_longer, 26', 'I5_SW_wider, 5', 'I2_SP_62, 5', 'I5_SL_longer, 3']",15.0
5,User6,1,[],0.0
6,User7,1,"['I6_SP_107, 6', 'I4_SP_116, 5', 'I2_SW_close, 5', 'I6_SP_80, 5', 'I8_SW_wider, 4', 'I3_SL_longer, 3', 'I5_SL_longer, 3']",4.0
7,User8,1,[],0.0
8,User9,1,[],0.0
9,User10,6,[],0.0
10,User11,4,"['I9_SL_longer, 73', 'I9_SW_wider, 60', 'I6_SL_long, 21', 'I9_SL_long, 19', 'I5_SL_long, 15', 'I5_SL_longer, 12', 'I9_TL_back, 12', 'I3_SL_longer, 11', 'I9_SW_wide, 10', 'I9_TL_up, 6', 'I6_SP_71, 5', 'I6_SP_80, 5', 'I2_SP_62, 5', 'I9_SP_62, 5']",18.0
11,User12,2,"['I9_SL_longer, 43', 'I9_SW_wider, 20', 'I9_SW_wide, 15', 'I9_SP_62, 15', 'I9_SL_long, 9', 'I5_SL_longer, 9', 'I6_SP_80, 5', 'I4_SP_80, 4', 'I9_TL_back, 4', 'I3_SL_longer, 3']",12.0
12,User13,2,[],0.0
13,User14,2,"['I4_TL_front, 4', 'I9_SL_longer, 3', 'I5_SL_longer, 3']",3.0
14,User15,1,[],0.0
15,User16,2,"['I3_SL_longer, 7', 'I6_SP_107, 6', 'I9_SW_wide, 5', 'I2_SP_71, 5', 'I8_SW_wider, 4', 'I9_SL_longer, 3']",5.0
16,User17,1,"['I9_SL_long, 95', 'I9_SP_62, 90', 'I9_SW_wider, 90', 'I4_SL_long, 86', 'I9_SL_longer, 83', 'I9_TL_back, 79', 'I5_SL_longer, 78', 'I9_TL_front, 63', 'I9_TL_up, 62', 'I9_SP_71, 61', 'I3_SL_longer, 50', 'I9_SW_wide, 47', 'I1_SL_longer, 37', 'I9_TL_normal, 35', 'I9_SP_80, 35', 'I9_SW_normal, 35', 'I9_SL_normal, 35', 'I9_SP_89, 29', 'I4_SP_80, 28', 'I4_SW_wide, 16', 'I4_SW_close, 16', 'I9_SW_close, 15', 'I2_SP_62, 10', 'I7_SL_longer, 8', 'I5_SL_long, 7', 'I9_SP_98, 6', 'I5_SW_wider, 5', 'I6_SP_80, 5', 'I4_SP_71, 5', 'I4_SP_89, 5', 'I4_SL_normal, 5', 'I4_TL_normal, 5', 'I4_SW_normal, 5', 'I8_SP_71, 4']",36.0
17,User18,1,[],0.0
18,User19,1,"['I7_TL_up, 5']",5.0
19,User20,2,[],0.0
20,User21,1,"['I3_SP_71, 22', 'I9_SP_62, 15', 'I9_TL_normal, 10', 'I9_SW_normal, 10', 'I9_SL_normal, 10', 'I9_SP_80, 10', 'I6_SP_107, 6', 'I9_SP_71, 5', 'I9_SW_wide, 5', 'I9_SW_close, 5', 'I3_SP_80, 4']",9.0
21,User22,1,"['I9_SP_62, 60', 'I9_SW_wide, 36', 'I9_SL_longer, 23', 'I9_SP_71, 22', 'I9_SW_close, 5']",29.0
22,User23,1,"['I5_TL_back, 42', 'I5_TL_up, 27', 'I7_TL_up, 5']",24.0
23,User24,3,[],0.0
24,User25,1,"['I9_SL_long, 19', 'I9_SW_wider, 15', 'I9_SL_longer, 6', 'I5_SW_wider, 5', 'I6_SL_long, 5', 'I9_SW_wide, 5', 'I9_TL_back, 4']",8.0
